iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
0,7,"[0.13541667 0.16666667 0.109375   0.18229167 0.14583333 0.04166667
 0.19791667 0.02083333]","[1, 1, 0, 1, 1, 0, 1, 0]",5,0.4772135416666667
1,7,"[0.07291667 0.02083333 0.19270833 0.125      0.11458333 0.08854167
 0.27083333 0.11458333]","[0, 0, 1, 0, 0, 0, 1, 0]",2,0.3821614583333333
2,7,"[0.05729167 0.296875   0.16145833 0.09375    0.06770833 0.125
 0.08333333 0.11458333]","[0, 1, 1, 0, 0, 0, 0, 0]",2,0.45345052083333337
3,8,"[0.         0.29166667 0.203125   0.18229167 0.01041667 0.21875
 0.0625     0.03125   ]","[0, 1, 1, 1, 0, 1, 0, 0]",4,0.5423177083333334
4,8,"[0.03125    0.09895833 0.25520833 0.15625    0.03125    0.109375
 0.125      0.19270833]","[0, 0, 1, 1, 0, 0, 0, 1]",3,0.3603515625
5,8,"[0.05729167 0.03645833 0.17708333 0.21354167 0.05729167 0.23958333
 0.13020833 0.08854167]","[0, 0, 1, 1, 0, 1, 1, 0]",4,0.49739583333333337
6,8,"[0.046875   0.03645833 0.13541667 0.15625    0.02083333 0.07291667
 0.50520833 0.02604167]","[0, 0, 1, 1, 0, 0, 1, 0]",3,1.0530598958333335
7,8,"[0.25       0.02604167 0.078125   0.16145833 0.02604167 0.234375
 0.16666667 0.05729167]","[1, 0, 0, 1, 0, 1, 1, 0]",4,0.3935546875
8,8,"[0.44791667 0.02604167 0.09895833 0.00520833 0.02604167 0.203125
 0.10416667 0.08854167]","[1, 0, 0, 0, 0, 1, 0, 0]",2,1.2151692708333335
9,8,"[0.26041667 0.03645833 0.08854167 0.02604167 0.08333333 0.30729167
 0.03125    0.16666667]","[1, 0, 0, 0, 0, 1, 0, 1]",3,0.5139973958333334
10,8,"[0.15625    0.25520833 0.03645833 0.125      0.18229167 0.19791667
 0.01041667 0.03645833]","[1, 1, 0, 0, 1, 1, 0, 0]",4,0.4169921875
11,8,"[0.03645833 0.25520833 0.046875   0.25520833 0.20833333 0.109375
 0.046875   0.04166667]","[0, 1, 0, 1, 1, 0, 0, 0]",3,0.42773437500000006
12,8,"[0.06770833 0.23958333 0.109375   0.09375    0.203125   0.15625
 0.046875   0.08333333]","[0, 1, 0, 0, 1, 1, 0, 0]",3,0.5032552083333334
13,8,"[0.09895833 0.26041667 0.109375   0.109375   0.14583333 0.14583333
 0.0625     0.06770833]","[0, 1, 0, 0, 1, 1, 0, 0]",3,0.4892578125
14,8,"[0.15625    0.140625   0.13541667 0.11458333 0.14583333 0.11979167
 0.06770833 0.11979167]","[1, 1, 1, 0, 1, 0, 0, 0]",4,0.41666666666666674
15,8,"[0.140625   0.20833333 0.08854167 0.09375    0.1875     0.18229167
 0.078125   0.02083333]","[1, 1, 0, 0, 1, 1, 0, 0]",4,0.453125
16,8,"[0.09375    0.25       0.05729167 0.15104167 0.25520833 0.16145833
 0.02083333 0.01041667]","[0, 1, 0, 1, 1, 1, 0, 0]",4,0.4837239583333333
17,8,"[0.046875   0.19791667 0.08854167 0.10416667 0.359375   0.15104167
 0.02604167 0.02604167]","[0, 1, 0, 0, 1, 1, 0, 0]",3,0.4671223958333333
18,8,"[0.09375    0.21875    0.08333333 0.16145833 0.265625   0.10416667
 0.03125    0.04166667]","[0, 1, 0, 1, 1, 0, 0, 0]",3,0.46028645833333326
19,8,"[0.0625     0.21354167 0.109375   0.16145833 0.13541667 0.109375
 0.16145833 0.046875  ]","[0, 1, 0, 1, 1, 0, 1, 0]",4,0.38671875
20,9,"[0.046875   0.24479167 0.078125   0.21875    0.07291667 0.16666667
 0.07291667 0.09895833]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.3440755208333333
21,9,"[0.0625     0.21875    0.046875   0.20833333 0.11458333 0.19270833
 0.03645833 0.11979167]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.2776692708333333
