iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
0,7,"[0.078125   0.1875     0.05729167 0.22395833 0.19270833 0.06770833
 0.125      0.06770833]","[0, 1, 0, 1, 1, 0, 0, 0]",3,0.4169921875
1,7,"[0.0625     0.36979167 0.109375   0.16145833 0.03125    0.11458333
 0.10416667 0.046875  ]","[0, 1, 0, 1, 0, 0, 0, 0]",2,0.8183593750000001
2,7,"[0.09375    0.31770833 0.08854167 0.05729167 0.16666667 0.10416667
 0.05208333 0.11979167]","[0, 1, 0, 0, 1, 0, 0, 0]",2,0.4827473958333333
3,10,"[0.11979167 0.171875   0.05208333 0.14583333 0.05729167 0.20833333
 0.05729167 0.1875    ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.521484375
4,10,"[0.08854167 0.04166667 0.10416667 0.15104167 0.08333333 0.265625
 0.04166667 0.22395833]","[0, 0, 0, 1, 0, 1, 0, 1]",3,0.2825520833333333
5,10,"[0.07291667 0.03645833 0.07291667 0.11458333 0.13541667 0.25
 0.125      0.19270833]","[0, 0, 0, 0, 1, 1, 0, 1]",3,0.45703125
6,10,"[0.08854167 0.02083333 0.125      0.05208333 0.21354167 0.18229167
 0.22395833 0.09375   ]","[0, 0, 0, 0, 1, 1, 1, 0]",3,0.5358072916666667
7,10,"[0.06770833 0.03645833 0.03645833 0.06770833 0.32291667 0.08333333
 0.234375   0.15104167]","[0, 0, 0, 0, 1, 0, 1, 1]",3,0.4277343749999999
8,10,"[0.08854167 0.03125    0.09895833 0.05729167 0.30729167 0.046875
 0.296875   0.07291667]","[0, 0, 0, 0, 1, 0, 1, 0]",2,0.27473958333333337
9,10,"[0.296875   0.03125    0.171875   0.0625     0.22395833 0.015625
 0.140625   0.05729167]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.22460937500000003
10,10,"[0.33333333 0.0625     0.203125   0.05729167 0.125      0.05208333
 0.14583333 0.02083333]","[1, 0, 1, 0, 0, 0, 1, 0]",3,0.2858072916666667
11,10,"[0.296875   0.02083333 0.34375    0.05208333 0.04166667 0.11458333
 0.02604167 0.10416667]","[1, 0, 1, 0, 0, 0, 0, 0]",2,0.40852864583333337
12,10,"[0.08854167 0.0625     0.19791667 0.046875   0.08854167 0.26041667
 0.046875   0.20833333]","[0, 0, 1, 0, 0, 1, 0, 1]",3,0.47460937499999994
13,10,"[0.04166667 0.08333333 0.03645833 0.04166667 0.16666667 0.3125
 0.13020833 0.1875    ]","[0, 0, 0, 0, 1, 1, 1, 1]",4,0.6295572916666666
14,10,"[0.046875   0.140625   0.27604167 0.04166667 0.26041667 0.109375
 0.09895833 0.02604167]","[0, 1, 1, 0, 1, 0, 0, 0]",3,0.6002604166666665
15,10,"[0.09895833 0.11979167 0.33333333 0.06770833 0.109375   0.18229167
 0.02083333 0.06770833]","[0, 0, 1, 0, 0, 1, 0, 0]",2,0.8274739583333334
16,10,"[0.26041667 0.171875   0.09895833 0.03125    0.0625     0.15104167
 0.07291667 0.15104167]","[1, 1, 0, 0, 0, 1, 0, 1]",4,0.5149739583333334
17,10,"[0.11458333 0.09375    0.19270833 0.06770833 0.15104167 0.11979167
 0.11458333 0.14583333]","[0, 0, 1, 0, 1, 0, 0, 1]",3,0.4811197916666667
18,10,"[0.08333333 0.06770833 0.21875    0.11458333 0.13020833 0.01041667
 0.30208333 0.07291667]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.4033203125
19,10,"[0.27083333 0.046875   0.09375    0.01041667 0.234375   0.02083333
 0.28125    0.04166667]","[1, 0, 0, 0, 1, 0, 1, 0]",3,0.2529296875
20,10,"[0.17708333 0.08333333 0.140625   0.046875   0.25520833 0.015625
 0.21875    0.0625    ]","[1, 0, 1, 0, 1, 0, 1, 0]",4,0.24641927083333337
21,10,"[0.22395833 0.06770833 0.296875   0.05729167 0.19270833 0.01041667
 0.078125   0.07291667]","[1, 0, 1, 0, 1, 0, 0, 0]",3,0.3736979166666667
22,10,"[0.09895833 0.10416667 0.20833333 0.08854167 0.09375    0.04166667
 0.19791667 0.16666667]","[0, 0, 1, 0, 0, 0, 1, 1]",3,0.5169270833333334
23,10,"[0.06770833 0.0625     0.21354167 0.125      0.08854167 0.02604167
 0.22916667 0.1875    ]","[0, 0, 1, 0, 0, 0, 1, 1]",3,0.462890625
24,10,"[0.140625   0.09375    0.140625   0.08333333 0.11979167 0.02604167
 0.16145833 0.234375  ]","[1, 0, 1, 0, 0, 0, 1, 1]",4,0.5305989583333335
25,10,"[0.18229167 0.15104167 0.13541667 0.109375   0.046875   0.046875
 0.13541667 0.19270833]","[1, 1, 1, 0, 0, 0, 1, 1]",5,0.634765625
26,10,"[0.203125   0.16666667 0.30208333 0.09375    0.046875   0.04166667
 0.04166667 0.10416667]","[1, 1, 1, 0, 0, 0, 0, 0]",3,0.392578125
27,10,"[0.125      0.19791667 0.25520833 0.0625     0.05729167 0.19791667
 0.05729167 0.046875  ]","[0, 1, 1, 0, 0, 1, 0, 0]",3,0.41178385416666663
28,10,"[0.05208333 0.1875     0.19270833 0.02083333 0.13541667 0.26041667
 0.09895833 0.05208333]","[0, 1, 1, 0, 1, 1, 0, 0]",4,0.47037760416666663
29,10,"[0.06770833 0.23958333 0.22916667 0.03645833 0.078125   0.22916667
 0.05729167 0.0625    ]","[0, 1, 1, 0, 0, 1, 0, 0]",3,0.45930989583333337
30,10,"[0.19791667 0.19270833 0.16666667 0.09375    0.06770833 0.16666667
 0.06770833 0.046875  ]","[1, 1, 1, 0, 0, 1, 0, 0]",4,0.42643229166666663
31,10,"[0.1875     0.21875    0.171875   0.05208333 0.10416667 0.171875
 0.078125   0.015625  ]","[1, 1, 1, 0, 0, 1, 0, 0]",4,0.36848958333333337
32,10,"[0.21354167 0.171875   0.265625   0.02604167 0.08854167 0.15625
 0.03645833 0.04166667]","[1, 1, 1, 0, 0, 1, 0, 0]",4,0.412109375
33,10,"[0.14583333 0.14583333 0.27083333 0.03645833 0.05208333 0.20833333
 0.08333333 0.05729167]","[1, 1, 1, 0, 0, 1, 0, 0]",4,0.4749348958333333
34,10,"[0.19270833 0.05208333 0.36458333 0.015625   0.11458333 0.140625
 0.02604167 0.09375   ]","[1, 0, 1, 0, 0, 1, 0, 0]",3,0.5696614583333333
35,10,"[0.38541667 0.06770833 0.22916667 0.03125    0.05729167 0.15104167
 0.02604167 0.05208333]","[1, 0, 1, 0, 0, 1, 0, 0]",3,0.41276041666666663
36,10,"[0.28645833 0.0625     0.23958333 0.05208333 0.10416667 0.109375
 0.03125    0.11458333]","[1, 0, 1, 0, 0, 0, 0, 0]",2,0.4130859375
37,10,"[0.22395833 0.07291667 0.23958333 0.06770833 0.125      0.06770833
 0.078125   0.125     ]","[1, 0, 1, 0, 0, 0, 0, 0]",2,0.3714192708333333
38,10,"[0.11458333 0.02604167 0.22395833 0.046875   0.21875    0.0625
 0.19791667 0.109375  ]","[0, 0, 1, 0, 1, 0, 1, 0]",3,0.38313802083333337
39,10,"[0.08854167 0.02604167 0.078125   0.04166667 0.40625    0.015625
 0.27083333 0.07291667]","[0, 0, 0, 0, 1, 0, 1, 0]",2,0.45768229166666674
40,10,"[0.08854167 0.09895833 0.05208333 0.171875   0.1875     0.046875
 0.27083333 0.08333333]","[0, 0, 0, 1, 1, 0, 1, 0]",3,0.39453125
