,x_random,y_random,x_noiseless_simulation,y_noiseless_simulation,x_real_hardware,y_real_hardware,x_noiseless_simulation_loss,y_noiseless_simulation_loss,x_real_hardware_loss,y_real_hardware_loss
0,0,12.4,0,6.4,0,11.5,0,0.4675966618535134,0,0.5324869791666668
1,1,15.8,1,7.8,1,13.166666666666666,1,0.4524817099780513,1,0.5044270833333333
2,2,15.8,2,8.0,2,15.166666666666666,2,0.4077194283292611,2,0.5100260416666667
3,3,19.0,3,8.6,3,15.5,3,0.6436296845638649,3,0.4973307291666666
4,4,20.0,4,8.6,4,15.5,4,0.5496690780725009,4,0.4560546875000001
5,5,20.0,5,9.2,5,15.5,5,0.38175960151119426,5,0.39381510416666665
6,6,20.0,6,9.4,6,15.5,6,0.4651478589257357,6,0.4347005208333334
7,7,20.0,7,9.4,7,15.5,7,0.4448689091203722,7,0.38352864583333335
8,8,21.0,8,9.6,8,15.833333333333334,8,0.41755707466797193,8,0.4256510416666667
9,9,21.0,9,9.6,9,15.833333333333334,9,0.36366431330863314,9,0.4037760416666667
10,10,21.0,10,9.6,10,15.833333333333334,10,0.3857766893154582,10,0.37304687500000006
11,11,21.0,11,9.8,11,15.833333333333334,11,0.44302446262470896,11,0.39335937500000007
12,12,21.0,12,9.8,12,15.833333333333334,12,0.4026166703276363,12,0.3459635416666667
13,13,21.0,13,9.8,13,15.833333333333334,13,0.36140962494497986,13,0.32486979166666663
14,14,21.0,14,9.8,14,16.0,14,0.3662331924970272,14,0.39205729166666664
15,15,21.0,15,9.8,15,16.0,15,0.3719143197442817,15,0.376171875
16,16,21.0,16,9.8,16,16.0,16,0.3363790335547792,16,0.3424479166666667
17,17,21.0,17,9.8,17,16.0,17,0.32558447674587404,17,0.370703125
18,18,21.0,18,9.8,18,16.0,18,0.33611050830371764,18,0.3540364583333333
19,19,21.0,19,9.8,19,16.0,19,0.3195194814133017,19,0.3267578125
20,20,21.0,20,9.8,20,16.0,20,0.33454465607036565,20,0.2813151041666667
21,21,21.0,21,9.8,21,16.0,21,0.3216217334990973,21,0.33085937499999996
22,22,21.0,22,9.8,22,16.0,22,0.3091168451291308,22,0.4298177083333333
23,23,21.0,23,9.8,23,16.0,23,0.3241301295880968,23,0.4223307291666667
24,24,21.0,24,9.8,24,16.0,24,0.3095230083317923,24,0.4167317708333333
25,25,21.0,25,9.8,25,16.25,25,0.3282635534607573,25,0.35078125
26,26,21.0,26,9.8,26,16.25,26,0.3032210115263592,26,0.330078125
27,27,21.0,27,10.0,27,16.25,27,0.329541257086394,27,0.2931640625
28,28,21.0,28,10.0,28,16.25,28,0.28301132017113523,28,0.36569010416666664
29,29,21.0,29,10.0,29,16.25,29,0.29095354995901496,29,0.34700520833333337
30,30,21.0,30,10.0,30,17.0,30,0.3015323116937549,30,0.3381510416666666
31,31,21.0,31,10.0,31,17.0,31,0.31035928830621434,31,0.3981770833333334
32,32,21.0,32,10.0,32,17.0,32,0.2817360689821937,32,0.4022135416666667
33,33,21.0,33,10.0,33,17.0,33,0.27310204650455666,33,0.35501302083333336
34,34,21.0,34,10.0,34,17.333333333333332,34,0.28156911054438505,34,0.3543619791666667
35,35,21.0,35,10.0,35,18.0,35,0.28656484939122223,35,0.3690104166666667
36,36,21.0,36,10.0,36,18.0,36,0.26797712851436717,36,0.3958984375
37,37,21.0,37,10.0,37,18.0,37,0.26628487101733467,37,0.38626302083333336
38,38,21.0,38,10.0,38,18.0,38,0.2782657771249081,38,0.3059895833333333
39,39,21.0,39,10.0,39,18.0,39,0.2679848873771203,39,0.33854166666666663
40,40,21.0,40,10.0,40,18.0,40,0.27085192005525277,40,0.36230468749999994
41,41,21.0,41,10.0,41,18.0,41,0.2804850426383577,41,0.29825846354166663
42,42,21.0,42,10.0,42,18.0,42,0.25858135875576943,42,0.2572428385416667
43,43,21.0,43,10.0,43,18.0,43,0.26476487832125234,43,0.33471679687499994
44,44,21.0,44,10.0,44,18.0,44,0.2605090054089819,44,0.37101236979166663
45,45,21.0,45,10.0,45,18.0,45,0.2540854133974805,45,0.33024088541666663
46,46,21.0,46,10.0,46,18.0,46,0.2628215815492348,46,0.33930121527777785
47,47,21.0,47,10.0,47,18.0,47,0.26149057604331827,47,0.34765625
48,48,21.0,48,10.0,48,18.0,48,0.2552534534649863,48,0.3430989583333333
49,49,21.0,49,10.0,49,18.0,49,0.2600657490304046,49,0.34917534722222215
